year,quarter,sector,company_size,revenue_m_eur,ai_use_case,deployment_type,days_diagnostic,days_poc,days_to_deployment,investment_eur,roi,time_saved_hours_month,revenue_increase_percent,human_in_loop
2024,q1,manufacturing,grande,330.7,customer service bot,analytics,35,115,360,353519,-11.7,0,0.0,1
2024,q4,logistique,pme,7.8,quality control vision,analytics,10,27,60,14533,10.1,552,0.0,1
2023,q2,energie,pme,10.4,customer service bot,nlp,9,14,110,25522,105.0,678,0.0,1
2025,q4,services pro,eti,50.3,process automation,hybrid,37,34,268,33932,-24.2,0,0.0,0
2022,q3,services pro,pme,10.5,quality control vision,analytics,9,22,93,11285,201.8,390,0.0,1
2024,q3,telecom,pme,11.7,document processing,hybrid,3,22,69,11107,127.1,716,0.0,1
2023,q1,logistique,grande,194.3,predictive analytics,automation,79,163,271,221752,70.8,568,0.0,1
2023,q2,construction,grande,379.2,quality control vision,automation,89,92,533,414145,62.9,369,0.0,1
2023,q1,services pro,pme,11.3,fraud detection,hybrid,10,33,92,14064,10.5,0,0.0,1
2023,q3,finance,grande,473.4,process automation,analytics,50,73,519,349851,383.1,208,0.0,1
2024,q1,sante,grande,197.1,predictive analytics,analytics,81,108,509,689692,218.4,795,0.0,1
2023,q4,finance,eti,57.2,pricing optimization,analytics,31,64,134,49189,222.0,512,23.8,1
2023,q1,services pro,eti,47.4,document processing,analytics,36,32,269,115138,135.4,784,0.0,1
2023,q3,retail,pme,3.8,process automation,nlp,14,35,94,21352,250.9,567,0.0,1
2025,q1,retail,grande,336.8,document processing,nlp,30,135,322,340792,148.9,275,0.0,1
2025,q1,construction,grande,95.7,sales automation,analytics,37,122,477,366699,26.5,517,21.8,0
2025,q3,manufacturing,pme,7.4,customer service bot,nlp,2,43,110,9877,115.9,238,0.0,0
2024,q3,logistique,eti,18.1,customer service bot,analytics,35,30,137,37960,42.5,155,0.0,1
2024,q2,manufacturing,eti,32.0,customer service bot,nlp,42,60,200,112903,142.0,467,0.0,1
2024,q1,energie,grande,483.7,customer service bot,analytics,41,68,297,715058,194.2,38,0.0,1
2024,q1,retail,pme,14.1,fraud detection,vision,7,43,92,45000,268.9,458,0.0,1
2023,q2,telecom,eti,73.7,sales automation,vision,38,49,254,64637,175.1,512,13.5,1
2025,q3,retail,eti,65.8,pricing optimization,hybrid,42,88,269,99974,245.2,193,11.9,0
2023,q4,finance,eti,39.3,process automation,vision,15,84,208,88589,103.7,277,0.0,1
2024,q4,retail,pme,3.1,quality control vision,automation,11,35,74,11785,84.9,271,0.0,1
2023,q3,agroalimentaire,grande,487.1,customer service bot,automation,43,95,538,389971,-7.2,0,0.0,1
2024,q2,retail,pme,4.6,document processing,vision,6,22,87,13035,76.9,344,0.0,1
2025,q3,sante,pme,2.1,pricing optimization,automation,12,28,119,14710,-9.3,0,0.0,1
2025,q3,finance,grande,395.0,predictive analytics,hybrid,65,147,474,310889,253.5,56,0.0,1
2024,q3,finance,eti,48.8,document processing,automation,27,63,251,60772,19.0,0,0.0,1
2022,q2,services pro,eti,37.6,sales automation,automation,36,53,213,84376,172.0,514,7.2,1
2023,q2,finance,pme,10.9,document processing,vision,6,41,88,17708,232.8,158,0.0,1
2023,q2,finance,eti,23.4,customer service bot,hybrid,19,35,192,46045,218.4,740,0.0,1
2024,q2,logistique,eti,17.4,fraud detection,analytics,34,83,196,57687,142.6,314,0.0,1
2023,q4,retail,pme,4.6,quality control vision,vision,8,25,98,39321,113.4,721,0.0,1
2023,q1,retail,eti,30.4,sales automation,hybrid,12,44,144,229457,138.9,340,29.5,1
2025,q2,manufacturing,grande,489.5,sales automation,analytics,79,146,414,362799,229.8,571,23.0,1
2023,q3,manufacturing,grande,101.8,customer service bot,nlp,62,125,324,619281,263.3,601,0.0,1
2023,q3,agroalimentaire,grande,107.9,fraud detection,vision,80,76,484,383756,69.8,326,0.0,1
2024,q2,manufacturing,pme,8.8,pricing optimization,automation,5,41,83,45000,125.7,281,4.2,1
2025,q4,services pro,eti,79.9,process automation,automation,33,76,141,82828,230.1,491,0.0,1
2024,q1,services pro,eti,61.8,pricing optimization,analytics,33,62,157,52930,7.9,477,15.2,1
2025,q4,finance,grande,465.9,quality control vision,hybrid,72,78,425,998087,191.5,674,0.0,1
2024,q4,agroalimentaire,grande,335.3,pricing optimization,automation,74,84,482,664998,124.2,395,27.6,1
2023,q1,finance,grande,289.3,sales automation,hybrid,84,103,426,393390,-19.5,0,0.0,0
2022,q2,retail,pme,12.8,predictive analytics,nlp,5,36,91,19482,162.8,719,0.0,1
2025,q3,logistique,grande,356.7,process automation,automation,43,87,451,402818,114.3,97,0.0,1
2025,q4,telecom,grande,476.7,sales automation,hybrid,54,98,293,635026,161.5,507,10.1,1
2025,q1,manufacturing,pme,7.0,sales automation,automation,7,23,116,27809,7.1,0,0.0,1
2024,q2,manufacturing,pme,14.8,customer service bot,hybrid,4,22,61,19851,36.5,28,0.0,1
2024,q4,sante,grande,345.9,quality control vision,nlp,84,110,373,644221,86.3,245,0.0,1
2024,q2,telecom,pme,6.9,fraud detection,hybrid,8,22,92,20254,148.1,294,0.0,1
2024,q3,telecom,eti,68.2,quality control vision,vision,33,46,208,50311,89.0,649,0.0,1
2023,q1,telecom,grande,351.6,predictive analytics,nlp,33,140,281,169525,187.3,640,0.0,1
2024,q3,finance,eti,17.4,pricing optimization,analytics,28,58,252,115642,119.7,536,22.1,1
2024,q3,manufacturing,grande,445.4,sales automation,analytics,82,123,523,347443,173.9,345,12.6,1
2023,q2,retail,pme,13.0,customer service bot,hybrid,2,14,119,21058,294.0,89,0.0,1
2024,q1,sante,grande,495.5,pricing optimization,vision,33,108,496,422057,64.3,485,15.8,1
2025,q3,manufacturing,eti,68.0,sales automation,hybrid,15,62,208,154430,137.8,651,19.7,1
2023,q4,finance,pme,10.9,fraud detection,nlp,8,43,66,18393,179.1,592,0.0,1
2023,q4,energie,pme,11.1,predictive analytics,hybrid,11,35,97,27129,131.4,658,0.0,1
2023,q2,manufacturing,pme,5.9,process automation,automation,3,25,60,14804,64.7,607,0.0,1
2025,q4,finance,eti,61.0,sales automation,automation,29,50,213,75525,304.9,401,23.1,1
2025,q1,manufacturing,pme,2.9,process automation,hybrid,11,20,64,9489,207.7,518,0.0,1
2024,q4,retail,grande,384.3,customer service bot,hybrid,42,164,463,253602,12.2,0,0.0,1
2022,q4,services pro,pme,14.6,document processing,automation,2,32,96,8559,251.3,787,0.0,1
2023,q3,manufacturing,eti,54.0,fraud detection,analytics,33,81,236,151402,0.9,0,0.0,1
2023,q2,services pro,pme,8.7,process automation,hybrid,3,39,81,28503,161.1,483,0.0,1
2025,q4,services pro,pme,11.1,sales automation,vision,6,39,64,19235,205.9,590,2.4,1
2025,q2,retail,pme,5.9,sales automation,vision,11,41,86,9344,277.6,346,6.1,1
2024,q4,finance,grande,258.7,document processing,vision,52,178,280,446961,35.3,722,0.0,1
2025,q4,retail,eti,40.0,customer service bot,hybrid,34,37,227,64553,94.1,699,0.0,1
2024,q2,manufacturing,pme,10.3,process automation,automation,7,40,60,15558,24.8,364,0.0,1
2022,q1,manufacturing,eti,31.2,predictive analytics,vision,33,40,145,129825,191.4,180,0.0,1
2024,q4,retail,pme,2.2,process automation,analytics,7,42,78,22317,195.8,540,0.0,1
2024,q2,finance,pme,11.4,fraud detection,nlp,4,36,69,17097,4.5,0,0.0,1
2023,q1,retail,eti,52.5,sales automation,vision,13,66,167,92391,181.2,742,13.1,0
2025,q1,sante,pme,3.1,sales automation,automation,6,33,96,27876,114.3,151,19.3,1
